"Queue","Count","Age"
trms_uk_ari_email_arm_appeals_wrk_amz,334,126139
trms_uk_ari_f3concessionsabuse_wrk_amz,294,137842
trms_uk_ari_email_ofm_wrk_amz,267,98086
trms_uk_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,266,98750
trms_uk_ari_retrocharge_wrk_amz,248,105352
trms_uk_ari_highrisk_lvrefundapproval_wrk_amz,184,13197
trms_uk_ari_email_maa_emails_wrk_amz,182,120841
trms_uk_ari_mfnegregious_wrk_amz,125,1141709
trms_uk_ari_email_contra_ari_wrk_amz,106,97991
trms_uk_ari_afnbearsrefundapproval_wrk_amz,99,41706
trms_uk_ari_email_ari_esc_wrk_amz,79,383285
trms_uk_ari_email_dnr_emails_wrk_amz,77,94153
trms_uk_ari_concessionsabusecapdnrreferrals_wrk_amz,75,18756
trms_uk_ari_pdaconcessionsabuse_wrk_amz,74,115662
trms_uk_ari_cap_high_risk_wrk_amz,62,218763
trms_uk_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,59,18382
trms_uk_ari_afnrrefundapproval_wrk_amz,45,21281
trms_uk_ari_mdr_acc_investigation_high_risk_wrk_amz,43,389923
trms_uk_ari_sellerinitiatedrefund_wrk_amz,40,41853
trms_uk_ari_afn_holistic_refund_approval_wrk_amz,31,22048
trms_uk_ari_abdrop_ship_abuse_referrals_wrk_amz,25,88153
trms_uk_ari_email_buyer_returns_wrk_amz,20,93565
trms_uk_ari_email_ari_rcr_wrk_amz,13,36974
trms_uk_ari_in_transit_wrk_amz,12,19924
trms_uk_ari_armholisticrefundapproval_wrk_amz,10,22159
trms_uk_ari_email_aba_wrk_amz,9,34815
trms_uk_ari_email_neat_wrk_amz,9,52266
trms_uk_ari_email_mfn_emails_wrk_amz,8,96180
trms_uk_ari_pdarefundapproval_wrk_amz,7,41303
trms_uk_ari_nsr_concessions_abuse_wrk_amz,6,25596
trms_uk_ari_afn_flr_refund_approval_wrk_amz,4,21531
trms_uk_ari_mdr_acc_investigation_bau_wrk_amz,4,5864
trms_uk_ari_concessions_abuse_risky_mfn_orders_wrk_amz,2,1874
trms_uk_ari_pfw_high_risk_wrk_amz,2,3079
trms_uk_ari_concessionsabuseflrreferrals_intransit_wrk_amz,1,4369
trms_uk_ari_email_pna_appeals_wrk_amz,1,1160
trms_ae_ari_acclinkageinvestigation_wrk_amz,206,355908
trms_ae_ari_email_suspect_abuse_wrk_amz,179,418264
trms_ae_ari_dnr_concessions_abuse_wrk_amz,131,398913
trms_ae_ari_email_arm_appeals_wrk_amz,127,125620
trms_ae_ari_mfnegregious_wrk_amz,61,375513
trms_ae_ari_buyer_claims_abuse_wrk_amz,57,404707
trms_ae_ari_nsr_concessions_abuse_wrk_amz,46,401630
trms_ae_ari_concessionsabuse_flrreferrals_wrk_amz,45,185480
trms_ae_ari_email_contra_ari_wrk_amz,42,71984
trms_ae_ari_email_ofm_wrk_amz,41,91413
trms_ae_ari_mdr_cg_wrk_amz,27,2706053
trms_ae_ari_email_maa_emails_wrk_amz,14,117848
trms_ae_ari_afnhighriskrefundapproval_wrk_amz,11,39888
trms_ae_ari_email_ari_esc_wrk_amz,9,317365
trms_ae_ari_concessionsabuserr_wrk_amz,7,122834
trms_ae_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,7,56953
